Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Area Codes,Kaliii,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,Hot,2,0
Love You Anyway,Luke Combs,2kYevr8cbIAH2ha8210Bnz,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,Hot,7,0
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,Hot,2,0
I Gotta,Lil Uzi Vert,3lcfs9Qjfxzy00VSVkixDv,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,Hot,3,0
Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,Hot,3,0
Spin Again,Lil Uzi Vert,1pDbGAAH5GQ8U0KG4fI77H,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,Hot,7,0
Crush Em,Lil Uzi Vert,11pn4LFXCIXyprWQk8RSlM,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,Hot,3,0
X2,Lil Uzi Vert,0FA4wrjDJvJTTU8AepZTup,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,Hot,3,0
TQM,Fuerza Regida,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,Hot,3,0
Princess Diana,Ice Spice & Nicki Minaj,0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,Hot,2,0
Oh U Went,Young Thug Featuring Drake,7qLr3HMApUbyDkUvgIvHnB,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,Hot,3,0
Mojabi Ghost,Tainy & Bad Bunny,1dpaN50PdAeiXHYwgK9g2v,0.661,0.678,2,-7.553,1,0.0459,0.00291,0.0892,0.283,0.196,126.082,Hot,7,0
